seed,rank,magnitude_strength,direction_strength,true_direction_rank,method,trainable_parameters,selected_lr,optimization_steps,optimization_loss,relative_weight_error,expected_output_mse,direction_error,magnitude_relative_mae
100,1,0.0,0.35,4,Frozen,0,,0,,0.3281802237033844,0.1144680380821228,0.06782248616218567,0.06611022353172302
100,1,0.0,0.35,4,Magnitude-only oracle,16,,0,,0.3304601013660431,0.11606398969888687,0.06782250106334686,4.0978193283081055e-08
100,1,0.0,0.35,4,Full fine-tuning,512,,0,,0.0,0.0,0.0,0.0
100,1,0.0,0.35,4,LoRA SVD oracle,48,,0,,0.19844157993793488,0.04185282438993454,0.019540417939424515,0.03596605733036995
100,1,0.0,0.35,4,DoRA construction,64,,0,,0.19611138105392456,0.04087568446993828,0.019540395587682724,6.332993507385254e-08
100,2,0.0,0.35,4,Frozen,0,,0,,0.3281802237033844,0.1144680380821228,0.06782248616218567,0.06611022353172302
100,2,0.0,0.35,4,Magnitude-only oracle,16,,0,,0.3304601013660431,0.11606398969888687,0.06782250106334686,4.0978193283081055e-08
100,2,0.0,0.35,4,Full fine-tuning,512,,0,,0.0,0.0,0.0,0.0
100,2,0.0,0.35,4,LoRA SVD oracle,96,,0,,0.1415710300207138,0.021301398053765297,0.010055206716060638,0.019590847194194794
100,2,0.0,0.35,4,DoRA construction,112,,0,,0.13976609706878662,0.020761709660291672,0.010055184364318848,1.1175870895385742e-08
100,4,0.0,0.35,4,Frozen,0,,0,,0.3281802237033844,0.1144680380821228,0.06782248616218567,0.06611022353172302
100,4,0.0,0.35,4,Magnitude-only oracle,16,,0,,0.3304601013660431,0.11606398969888687,0.06782250106334686,4.0978193283081055e-08
100,4,0.0,0.35,4,Full fine-tuning,512,,0,,0.0,0.0,0.0,0.0
100,4,0.0,0.35,4,LoRA SVD oracle,192,,0,,1.190226583958065e-07,1.50563155693062e-14,0.0,2.60770320892334e-08
100,4,0.0,0.35,4,DoRA construction,208,,0,,1.3397773557244363e-07,1.907764175584567e-14,0.0,4.0978193283081055e-08
100,8,0.0,0.35,4,Frozen,0,,0,,0.3281802237033844,0.1144680380821228,0.06782248616218567,0.06611022353172302
100,8,0.0,0.35,4,Magnitude-only oracle,16,,0,,0.3304601013660431,0.11606398969888687,0.06782250106334686,4.0978193283081055e-08
100,8,0.0,0.35,4,Full fine-tuning,512,,0,,0.0,0.0,0.0,0.0
100,8,0.0,0.35,4,LoRA SVD oracle,384,,0,,1.2463384280181344e-07,1.650940397845274e-14,3.725290298461914e-09,3.725290298461914e-08
100,8,0.0,0.35,4,DoRA construction,400,,0,,1.3755857253272552e-07,2.011104905655023e-14,7.450580596923828e-09,4.842877388000488e-08
100,1,0.2,0.35,4,Frozen,0,,0,,0.3512312173843384,0.13160383701324463,0.06782248616218567,0.12503516674041748
100,1,0.2,0.35,4,Magnitude-only oracle,16,,0,,0.33235853910446167,0.11784089356660843,0.06782247126102448,4.0978193283081055e-08
100,1,0.2,0.35,4,Full fine-tuning,512,,0,,0.0,0.0,0.0,0.0
100,1,0.2,0.35,4,LoRA SVD oracle,48,,0,,0.22209878265857697,0.05262289196252823,0.020414989441633224,0.09692789614200592
100,1,0.2,0.35,4,DoRA construction,64,,0,,0.1941196173429489,0.04019954800605774,0.019540395587682724,3.725290298461914e-08
100,2,0.2,0.35,4,Frozen,0,,0,,0.3512312173843384,0.13160383701324463,0.06782248616218567,0.12503516674041748
100,2,0.2,0.35,4,Magnitude-only oracle,16,,0,,0.33235853910446167,0.11784089356660843,0.06782247126102448,4.0978193283081055e-08
100,2,0.2,0.35,4,Full fine-tuning,512,,0,,0.0,0.0,0.0,0.0
100,2,0.2,0.35,4,LoRA SVD oracle,96,,0,,0.16971266269683838,0.030726339668035507,0.011666100472211838,0.08007226139307022
100,2,0.2,0.35,4,DoRA construction,112,,0,,0.13533374667167664,0.019538648426532745,0.010055195540189743,5.587935447692871e-08
100,4,0.2,0.35,4,Frozen,0,,0,,0.3512312173843384,0.13160383701324463,0.06782248616218567,0.12503516674041748
100,4,0.2,0.35,4,Magnitude-only oracle,16,,0,,0.33235853910446167,0.11784089356660843,0.06782247126102448,4.0978193283081055e-08
100,4,0.2,0.35,4,Full fine-tuning,512,,0,,0.0,0.0,0.0,0.0
100,4,0.2,0.35,4,LoRA SVD oracle,192,,0,,0.10217995196580887,0.011138169094920158,0.0018841065466403961,0.07074900716543198
100,4,0.2,0.35,4,DoRA construction,208,,0,,1.379961247494066e-07,2.0314967156404018e-14,-1.862645149230957e-08,3.725290298461914e-08
100,8,0.2,0.35,4,Frozen,0,,0,,0.3512312173843384,0.13160383701324463,0.06782248616218567,0.12503516674041748
100,8,0.2,0.35,4,Magnitude-only oracle,16,,0,,0.33235853910446167,0.11784089356660843,0.06782247126102448,4.0978193283081055e-08
100,8,0.2,0.35,4,Full fine-tuning,512,,0,,0.0,0.0,0.0,0.0
100,8,0.2,0.35,4,LoRA SVD oracle,384,,0,,0.05428691208362579,0.0031439284794032574,0.0010241903364658356,0.02819221466779709
100,8,0.2,0.35,4,DoRA construction,400,,0,,1.3894957362481364e-07,2.0596658127408803e-14,3.725290298461914e-09,5.21540641784668e-08
100,1,0.4,0.35,4,Frozen,0,,0,,0.4074423611164093,0.1835354119539261,0.06782248616218567,0.23786795139312744
