seed,rank,magnitude_strength,DoRA construction,Frozen,Full fine-tuning,LoRA SVD oracle,Magnitude-only oracle,dora_vs_lora_oracle_ratio
100,1,0.0,0.19611138105392456,0.3281802237033844,0.0,0.19844157993793488,0.3304601013660431,0.9882575068957871
100,1,0.2,0.1941196173429489,0.3512312173843384,0.0,0.22209878265857697,0.33235853910446167,0.8740237790558302
100,1,0.4,0.19144603610038757,0.4074423611164093,0.0,0.2892459034919739,0.33252397179603577,0.6618798530562419
100,1,0.6,0.1883704960346222,0.47875091433525085,0.0,0.3689437508583069,0.33111536502838135,0.5105669782897774
100,1,0.8,0.18519245088100433,0.5516313910484314,0.0,0.44552499055862427,0.3285006880760193,0.41567241974193103
100,2,0.0,0.13976609706878662,0.3281802237033844,0.0,0.1415710300207138,0.3304601013660431,0.9872506899775816
100,2,0.2,0.13533374667167664,0.3512312173843384,0.0,0.16971266269683838,0.33235853910446167,0.7974286922445287
100,2,0.4,0.13062110543251038,0.4074423611164093,0.0,0.24368159472942352,0.33252397179603577,0.5360318885697871
100,2,0.6,0.1260509043931961,0.47875091433525085,0.0,0.32226136326789856,0.33111536502838135,0.39114494866829236
100,2,0.8,0.12197309732437134,0.5516313910484314,0.0,0.391325443983078,0.3285006880760193,0.31169222241946987
100,4,0.0,1.3397773557244363e-07,0.3281802237033844,0.0,1.190226583958065e-07,0.3304601013660431,1.1256489930421856
100,4,0.2,1.379961247494066e-07,0.3512312173843384,0.0,0.10217995196580887,0.33235853910446167,1.3505205482537554e-06
100,4,0.4,1.3498079454166145e-07,0.4074423611164093,0.0,0.18699099123477936,0.33252397179603577,7.218572063302466e-07
100,4,0.6,1.2506041002779966e-07,0.47875091433525085,0.0,0.24446526169776917,0.33111536502838135,5.115672024698996e-07
100,4,0.8,1.371790290249919e-07,0.5516313910484314,0.0,0.2926366329193115,0.3285006880760193,4.6876916145633816e-07
100,8,0.0,1.3755857253272552e-07,0.3281802237033844,0.0,1.2463384280181344e-07,0.3304601013660431,1.1037016065649548
100,8,0.2,1.3894957362481364e-07,0.3512312173843384,0.0,0.05428691208362579,0.33235853910446167,2.5595409333794855e-06
100,8,0.4,1.3910496932112437e-07,0.4074423611164093,0.0,0.10303865373134613,0.33252397179603577,1.3500270460036713e-06
100,8,0.6,1.3684199018371146e-07,0.47875091433525085,0.0,0.14145851135253906,0.33111536502838135,9.673648398764609e-07
100,8,0.8,1.4258644398523757e-07,0.5516313910484314,0.0,0.16998612880706787,0.3285006880760193,8.388122312442999e-07
101,1,0.0,0.2505607306957245,0.3385186791419983,0.0,0.249380961060524,0.3395814299583435,1.004730792720436
101,1,0.2,0.24074377119541168,0.3567008674144745,0.0,0.2631712853908539,0.34211745858192444,0.9147797824442224
101,1,0.4,0.23098255693912506,0.4019503593444824,0.0,0.3082265555858612,0.3444589078426361,0.7493921362488877
101,1,0.6,0.22196614742279053,0.46049246191978455,0.0,0.36581918597221375,0.3464665114879608,0.6067646420263213
101,1,0.8,0.21418236196041107,0.5217574834823608,0.0,0.42401885986328125,0.348076194524765,0.505124611743617
101,2,0.0,0.1649601012468338,0.3385186791419983,0.0,0.1667415052652359,0.3395814299583435,0.9893163731755424
101,2,0.2,0.16403403878211975,0.3567008674144745,0.0,0.18837440013885498,0.34211745858192444,0.8707873185592447
101,2,0.4,0.16226045787334442,0.4019503593444824,0.0,0.24359947443008423,0.3444589078426361,0.6660952707429383
101,2,0.6,0.1598624289035797,0.46049246191978455,0.0,0.30548256635665894,0.3464665114879608,0.5233111362464336
101,2,0.8,0.15709376335144043,0.5217574834823608,0.0,0.3620675802230835,0.348076194524765,0.43387967311143694
101,4,0.0,1.4763369904358115e-07,0.3385186791419983,0.0,1.471079258408281e-07,0.3395814299583435,1.0035740644139184
101,4,0.2,1.4720805552315142e-07,0.3567008674144745,0.0,0.09210182726383209,0.34211745858192444,1.598318512199152e-06
101,4,0.4,1.590136378126772e-07,0.4019503593444824,0.0,0.17150607705116272,0.3444589078426361,9.271603697473714e-07
101,4,0.6,1.5390591556752042e-07,0.46049246191978455,0.0,0.22941707074642181,0.3464665114879608,6.708564234857439e-07
101,4,0.8,1.6239823708019685e-07,0.5217574834823608,0.0,0.27674490213394165,0.348076194524765,5.868156407867552e-07
101,8,0.0,1.500445137025963e-07,0.3385186791419983,0.0,1.5066264325014345e-07,0.3395814299583435,0.9958972606997153
101,8,0.2,1.503992592688519e-07,0.3567008674144745,0.0,0.046523407101631165,0.34211745858192444,3.2327653677707263e-06
101,8,0.4,1.6440650085769448e-07,0.4019503593444824,0.0,0.08916875720024109,0.3444589078426361,1.843767996995813e-06
101,8,0.6,1.586492714977794e-07,0.46049246191978455,0.0,0.12224297970533371,0.3464665114879608,1.2978190803283996e-06
101,8,0.8,1.6742026787142095e-07,0.5217574834823608,0.0,0.14816422760486603,0.348076194524765,1.1299641659652704e-06
102,1,0.0,0.2267572581768036,0.3303505778312683,0.0,0.22609099745750427,0.33329853415489197,1.002946869741793
102,1,0.2,0.21579767763614655,0.35538893938064575,0.0,0.2422591596841812,0.3300645649433136,0.8907720059686044
102,1,0.4,0.20687749981880188,0.4066196084022522,0.0,0.29287928342819214,0.32786062359809875,0.7063575729811696
102,1,0.6,0.20061038434505463,0.4695896506309509,0.0,0.3574194610118866,0.3267320990562439,0.5612743743082949
102,1,0.8,0.19710926711559296,0.5339381098747253,0.0,0.42300698161125183,0.326562762260437,0.46597166402501267
102,2,0.0,0.14275315403938293,0.3303505778312683,0.0,0.1432143747806549,0.33329853415489197,0.9967795080488367
102,2,0.2,0.13663282990455627,0.35538893938064575,0.0,0.16730131208896637,0.3300645649433136,0.816687138902405
102,2,0.4,0.13137546181678772,0.4066196084022522,0.0,0.2288537472486496,0.32786062359809875,0.5740586002904653
102,2,0.6,0.12734168767929077,0.4695896506309509,0.0,0.2990458905696869,0.3267320990562439,0.4258265761040988
102,2,0.8,0.12465853244066238,0.5339381098747253,0.0,0.36285853385925293,0.326562762260437,0.34354581967477016
102,4,0.0,1.307434729369561e-07,0.3303505778312683,0.0,1.2498679780037492e-07,0.33329853415489197,1.04605826565599
102,4,0.2,1.3579433755239734e-07,0.35538893938064575,0.0,0.08450661599636078,0.3300645649433136,1.6069077663486754e-06
102,4,0.4,1.2702065532721463e-07,0.4066196084022522,0.0,0.15981093049049377,0.32786062359809875,7.948183202322969e-07
102,4,0.6,1.2721808673177293e-07,0.4695896506309509,0.0,0.21903593838214874,0.3267320990562439,5.808091935571661e-07
